timestamp,streamflow_cfs
2022-01-01,3370
2022-01-02,5320
2022-01-03,7380
2022-01-04,13800
2022-01-05,13600
2022-01-06,12000
2022-01-07,10800
2022-01-08,9440
2022-01-09,8130
2022-01-10,7930
2022-01-11,7240
2022-01-12,6950
2022-01-13,7650
2022-01-14,8310
2022-01-15,8070
2022-01-16,7340
2022-01-17,6480
2022-01-18,6350
2022-01-19,6990
2022-01-20,7540
2022-01-21,7860
2022-01-22,8010
2022-01-23,7450
2022-01-24,7740
2022-01-25,7680
2022-01-26,7390
2022-01-27,6520
2022-01-28,6190
2022-01-29,5740
2022-01-30,5010
2022-01-31,4350
2022-02-01,4810
2022-02-02,4950
2022-02-03,5000
2022-02-04,7990
2022-02-05,21000
2022-02-06,39600
2022-02-07,35300
2022-02-08,25300
2022-02-09,19600
2022-02-10,16100
2022-02-11,13700
2022-02-12,12300
2022-02-13,11300
2022-02-14,10400
2022-02-15,9750
2022-02-16,9060
2022-02-17,8370
2022-02-18,7880
2022-02-19,8760
2022-02-20,14500
2022-02-21,15600
2022-02-22,13800
2022-02-23,12200
2022-02-24,11200
2022-02-25,11900
2022-02-26,12400
2022-02-27,15500
2022-02-28,19200
2022-03-01,17500
2022-03-02,15200
2022-03-03,13500
2022-03-04,11900
2022-03-05,10700
2022-03-06,9760
2022-03-07,8880
2022-03-08,8250
2022-03-09,8170
2022-03-10,8330
2022-03-11,8790
2022-03-12,9860
2022-03-13,10000
2022-03-14,9640
2022-03-15,9530
2022-03-16,9680
2022-03-17,9690
2022-03-18,9630
2022-03-19,9530
2022-03-20,9500
2022-03-21,9690
2022-03-22,9020
2022-03-23,8530
2022-03-24,8500
2022-03-25,8570
2022-03-26,8420
2022-03-27,8400
2022-03-28,8880
2022-03-29,8410
2022-03-30,7850
2022-03-31,7580
2022-04-01,8040
2022-04-02,8850
2022-04-03,10300
2022-04-04,11800
2022-04-05,11200
2022-04-06,13800
2022-04-07,15800
2022-04-08,36700
2022-04-09,46500
2022-04-10,40700
2022-04-11,31400
2022-04-12,25100
